"unit_id","clase_modelo"
815724622,"brand"
815726800,"male"
815730932,"female"
815737755,"female"
815723337,"female"
815737549,"female"
815738499,"male"
815732708,"female"
815732062,"female"
815720471,"female"
815723420,"male"
815722834,"brand"
815733238,"male"
815727043,"brand"
815734918,"brand"
815729396,"male"
815733853,"male"
815739466,"female"
815726958,"male"
815735069,"female"
815738281,"female"
815723541,"brand"
815732517,"brand"
815721805,"male"
815724647,"male"
815727080,"male"
815719490,"male"
815727001,"female"
815736942,"male"
815726139,"brand"
815729071,"female"
815731455,"female"
815729304,"brand"
815723019,"brand"
815736076,"female"
815732840,"male"
815735393,"female"
815721449,"female"
815733958,"male"
815727581,"female"
815735934,"female"
815732410,"female"
815735159,"female"
815730503,"male"
815730021,"brand"
815735287,"female"
815719683,"female"
815728960,"brand"
815734120,"female"
815733324,"female"
815728967,"female"
815736749,"male"
815728136,"male"
815724180,"male"
815720643,"brand"
815721271,"male"
815725642,"brand"
815729793,"brand"
815732696,"male"
815727484,"female"
815737793,"female"
815725171,"male"
815728561,"brand"
815725958,"male"
815732474,"female"
815724449,"brand"
815728977,"female"
815734799,"brand"
815720913,"brand"
815737017,"female"
815726098,"brand"
815736287,"female"
815726249,"brand"
815725982,"male"
815728926,"male"
815737352,"female"
815736788,"female"
815727136,"male"
815735018,"male"
815738745,"male"
815728052,"male"
815733699,"female"
815727335,"female"
815725808,"brand"
815734595,"female"
815723339,"female"
815733669,"brand"
815721720,"female"
815724185,"brand"
815722149,"female"
815724069,"female"
815720405,"brand"
815732276,"male"
815737013,"male"
815735036,"brand"
815735406,"female"
815728463,"brand"
815727532,"female"
815735678,"male"
815731522,"brand"
815732523,"male"
815726376,"female"
815724687,"male"
815739382,"male"
815732087,"female"
815723543,"male"
815721872,"brand"
815728945,"brand"
815737974,"male"
815731383,"male"
815739033,"male"
815734059,"brand"
815726444,"brand"
815727969,"brand"
815722243,"female"
815719483,"female"
815733733,"female"
815721342,"female"
815728274,"brand"
815732209,"brand"
815739349,"female"
815729298,"male"
815729069,"brand"
815722750,"female"
815734515,"female"
815728421,"female"
815729606,"male"
815723425,"female"
815723843,"female"
815731313,"male"
815730896,"male"
815720767,"female"
815719939,"female"
815732258,"female"
815738035,"female"
815731354,"male"
815730610,"female"
815729898,"brand"
815739190,"male"
815729531,"male"
815733058,"brand"
815731422,"female"
815724041,"female"
815724427,"brand"
815733988,"female"
815728386,"female"
815722783,"female"
815734327,"brand"
815721377,"female"
815736725,"female"
815731682,"male"
815730521,"male"
815725852,"brand"
815728392,"brand"
815729377,"male"
815722890,"female"
815729957,"female"
815720727,"female"
815724818,"brand"
815723520,"female"
815724958,"male"
815737325,"female"
815728250,"male"
815735001,"female"
815737036,"female"
815727563,"brand"
815720500,"male"
815725983,"female"
815733859,"male"
815726035,"brand"
815731981,"brand"
815736221,"brand"
815736533,"female"
815727124,"brand"
815726902,"male"
815737319,"female"
815739505,"female"
815734192,"male"
815731477,"female"
815737475,"male"
815725137,"brand"
815723087,"male"
815737132,"brand"
815729417,"brand"
815736943,"female"
815723046,"male"
815734531,"female"
815733860,"female"
815738293,"male"
815730298,"female"
815733603,"brand"
815727068,"brand"
815721283,"male"
815737951,"female"
815724919,"male"
815731167,"brand"
815721478,"female"
815736192,"brand"
815725629,"female"
815735028,"brand"
815724605,"male"
815723630,"male"
815729676,"female"
815724632,"female"
815722887,"female"
815729710,"brand"
815730605,"brand"
815721855,"male"
815724372,"female"
815733708,"female"
815738626,"brand"
815721268,"male"
815734614,"female"
815738351,"brand"
815735733,"female"
815725422,"male"
815732338,"brand"
815738457,"brand"
815738463,"brand"
815726064,"female"
815724498,"brand"
815722571,"brand"
815725701,"female"
815729534,"brand"
815737851,"female"
815729549,"female"
815724393,"male"
815720147,"male"
815727640,"female"
815736436,"male"
815726202,"brand"
815721899,"female"
815726758,"male"
815731960,"brand"
815727073,"male"
815733123,"male"
815733119,"female"
815730424,"female"
815727873,"male"
815728344,"brand"
815725374,"female"
815730897,"male"
815737559,"male"
815722113,"male"
815727567,"male"
815723466,"female"
815727853,"male"
815721920,"male"
815728485,"female"
815738209,"male"
815734557,"female"
815738007,"female"
815728715,"male"
815731387,"female"
815729010,"male"
815721439,"female"
815739555,"male"
815729284,"brand"
815726716,"female"
815738032,"male"
815729787,"brand"
815725589,"male"
815724791,"female"
815735066,"male"
815733361,"female"
815722555,"female"
815720505,"female"
815734398,"female"
815731719,"female"
815722645,"brand"
815720463,"male"
815721443,"male"
815726887,"male"
815722638,"brand"
815725206,"male"
815739453,"male"
815724370,"female"
815722875,"male"
815728837,"female"
815734713,"male"
815719771,"female"
815729841,"male"
815736914,"brand"
815726710,"female"
815720173,"brand"
815722030,"male"
815725666,"brand"
815722354,"brand"
815721906,"female"
815723661,"brand"
815723759,"male"
815721887,"male"
815738947,"male"
815725770,"brand"
815729429,"male"
815732915,"female"
815721237,"female"
815721637,"brand"
815720221,"female"
815737885,"female"
815732759,"male"
815721153,"female"
815729137,"male"
815728486,"brand"
815726743,"brand"
815739131,"female"
815722773,"male"
815735545,"brand"
815720579,"female"
815727249,"male"
815722075,"female"
815723102,"brand"
815736107,"female"
815733670,"female"
815724566,"brand"
815729180,"female"
815720869,"female"
815726299,"male"
815738667,"male"
815731772,"male"
815732567,"male"
815725470,"female"
815727346,"brand"
815739213,"brand"
815736371,"brand"
815738349,"female"
815735508,"male"
815734904,"female"
815724574,"brand"
815734493,"female"
815739004,"female"
815725086,"brand"
815727215,"male"
815735497,"male"
815720753,"brand"
815726497,"brand"
815728089,"brand"
815722382,"female"
815730912,"male"
815738665,"male"
815739057,"female"
815722769,"male"
815730099,"brand"
815726908,"male"
815732775,"female"
815724598,"female"
815728627,"brand"
815722675,"female"
815726607,"male"
815733749,"female"
815728982,"female"
815720488,"male"
815734930,"female"
815727582,"male"
815738868,"male"
815724860,"brand"
815736195,"male"
815720846,"male"
815736965,"female"
815728681,"male"
815721433,"female"
815725868,"brand"
815735981,"male"
815724742,"female"
815730992,"female"
815735963,"female"
815720629,"male"
815733288,"brand"
815733209,"male"
815728501,"brand"
815727958,"brand"
815730490,"female"
815737796,"male"
815723819,"female"
815723652,"female"
815727613,"brand"
815725867,"brand"
815736514,"brand"
815722777,"female"
815729111,"brand"
815727810,"female"
815730524,"brand"
815732351,"brand"
815738787,"female"
815723849,"brand"
815724017,"male"
815735146,"male"
815735841,"brand"
815721519,"female"
815738481,"female"
815722183,"brand"
815722111,"female"
815737707,"male"
815729379,"female"
815722335,"female"
815726164,"male"
815732416,"brand"
815725430,"brand"
815726225,"female"
815722191,"brand"
815732393,"female"
815722924,"female"
815738288,"female"
815737149,"male"
815738065,"male"
815733674,"brand"
815739262,"male"
815734810,"male"
815719441,"female"
815737996,"brand"
815739066,"female"
815726340,"female"
815734137,"male"
815735047,"female"
815733313,"male"
815728733,"brand"
815729117,"female"
815725348,"brand"
815733094,"female"
815735635,"male"
815727888,"brand"
815729516,"female"
815732464,"brand"
815722097,"brand"
815726077,"brand"
815727301,"brand"
815720901,"male"
815737821,"male"
815735936,"female"
815736759,"brand"
815737881,"male"
815720650,"female"
815726762,"male"
815729962,"female"
815721344,"brand"
815735202,"female"
815733963,"female"
815720249,"male"
815728853,"male"
815737566,"male"
815720043,"male"
815725055,"brand"
815729229,"brand"
815731386,"brand"
815724471,"male"
815727648,"brand"
815726510,"brand"
815738000,"brand"
815721714,"male"
815720600,"brand"
815738433,"female"
815728029,"male"
815726587,"brand"
815722624,"male"
815720288,"female"
815732334,"male"
815730757,"brand"
815738880,"female"
815731260,"female"
815720502,"brand"
815722465,"male"
815728701,"female"
815719262,"brand"
815728004,"brand"
815724392,"male"
815737900,"brand"
815733471,"male"
815722482,"brand"
815728714,"brand"
815732961,"male"
815728391,"female"
815738226,"brand"
815733402,"female"
815727111,"female"
815721591,"female"
815723979,"female"
815736399,"female"
815727887,"female"
815729149,"brand"
815732986,"male"
815734329,"male"
815722332,"male"
815736112,"male"
815738045,"female"
815730941,"male"
815729233,"brand"
815722999,"female"
815719260,"brand"
815736668,"male"
815721914,"male"
815719662,"female"
815737888,"female"
815725019,"female"
815722504,"male"
815727142,"female"
815728354,"brand"
815727842,"female"
815729520,"male"
815736037,"female"
815720306,"female"
